Path in MiSTer, URL, Size in bytes (optional but recommended), MD5 Hash (optional but recommended), Filter Terms (optional)
MiSTer_groovy,https://github.com/psakhis/Groovy_MiSTer/releases/download/0.7/MiSTer_groovy,,,grooy_mister
_Utility/Groovy_20240928.rbf,https://github.com/iequalshane/Groovy_MiSTer/releases/download/0.8/Groovy_20240928.rbf,,,grooy_mister
